DATE TIME; v1_pre; v2_pre; v3_pre; ORIENT; SP
2019-07-05 02:47:00; 14506.332; 2725.177; 50387.645; XYZ; 0000
2019-07-05 02:48:00; 14506.664; 2725.453; 50387.824; XYZ; 0000
2019-07-05 02:49:00; 14506.902; 2725.239; 50387.965; XYZ; 0000
2019-07-05 02:50:00; 14506.925; 2724.566; 50387.723; XYZ; 0000
2019-07-05 02:51:00; 14506.699; 2724.42; 50388.05; XYZ; 0000
2019-07-05 02:52:00; 14506.615; 2724.008; 50388.043; XYZ; 0000
2019-07-05 02:53:00; 14506.704; 2723.672; 50388.035; XYZ; 0000
2019-07-05 02:54:00; 14507.307; 2723.623; 50387.996; XYZ; 0000
2019-07-05 02:55:00; 14507.932; 2723.141; 50387.71; XYZ; 0000
2019-07-05 02:56:00; 14507.655; 2720.545; 50388.08; XYZ; 0000
2019-07-05 02:57:00; 14507.076; 2720.921; 50388.246; XYZ; 0000
2019-07-05 02:58:00; 14506.564; 2719.812; 50388.38; XYZ; 0000
2019-07-05 02:59:00; 14506.376; 2719.999; 50388.523; XYZ; 0000
2019-07-05 03:00:00; 14506.266; 2719.521; 50389.008; XYZ; 0000
2019-07-05 03:01:00; 14505.913; 2719.056; 50389.07; XYZ; 0000
2019-07-05 03:02:00; 14504.784; 2720.277; 50388.387; XYZ; 0000
2019-07-05 03:03:00; 14505.798; 2721.553; 50388.355; XYZ; 0000
2019-07-05 03:04:00; 14506.216; 2722.738; 50388.195; XYZ; 0000
2019-07-05 03:05:00; 14505.86; 2723.046; 50389.0; XYZ; 0000
2019-07-05 03:06:00; 14505.924; 2724.628; 50388.285; XYZ; 0000
2019-07-05 03:07:00; 14506.431; 2723.201; 50388.098; XYZ; 0000
2019-07-05 03:08:00; 14506.69; 2723.586; 50388.098; XYZ; 0000
2019-07-05 03:09:00; 14506.947; 2724.439; 50388.01; XYZ; 0000
2019-07-05 03:10:00; 14507.79; 2724.379; 50388.008; XYZ; 0000
2019-07-05 03:11:00; 14508.543; 2724.206; 50387.836; XYZ; 0000
2019-07-05 03:12:00; 14509.079; 2723.685; 50387.92; XYZ; 0000
2019-07-05 03:13:00; 14508.597; 2724.145; 50387.75; XYZ; 0000
2019-07-05 03:14:00; 14508.906; 2724.287; 50387.99; XYZ; 0000
2019-07-05 03:15:00; 14509.495; 2723.834; 50388.133; XYZ; 0000
2019-07-05 03:16:00; 14509.062; 2724.257; 50387.62; XYZ; 0000
2019-07-05 03:17:00; 14508.844; 2723.644; 50387.65; XYZ; 0000
2019-07-05 03:18:00; 14509.275; 2723.487; 50387.52; XYZ; 0000
2019-07-05 03:19:00; 14509.509; 2723.903; 50387.457; XYZ; 0000
2019-07-05 03:20:00; 14509.577; 2723.313; 50387.586; XYZ; 0000
2019-07-05 03:21:00; 14509.187; 2721.927; 50387.63; XYZ; 0000
2019-07-05 03:22:00; 14508.811; 2722.52; 50387.55; XYZ; 0000
2019-07-05 03:23:00; 14509.046; 2722.225; 50387.25; XYZ; 0000
2019-07-05 03:24:00; 14508.38; 2722.018; 50387.504; XYZ; 0000
2019-07-05 03:25:00; 14508.563; 2722.19; 50387.633; XYZ; 0000
2019-07-05 03:26:00; 14508.752; 2722.116; 50387.66; XYZ; 0000
2019-07-05 03:27:00; 14508.983; 2721.579; 50387.684; XYZ; 0000
2019-07-05 03:28:00; 14508.821; 2721.26; 50387.52; XYZ; 0000
2019-07-05 03:29:00; 14509.139; 2720.554; 50387.555; XYZ; 0000
2019-07-05 03:30:00; 14509.028; 2722.142; 50387.926; XYZ; 0000
2019-07-05 03:31:00; 14508.19; 2720.442; 50387.86; XYZ; 0000
2019-07-05 03:32:00; 14507.602; 2720.746; 50387.816; XYZ; 0000
2019-07-05 03:33:00; 14507.18; 2721.26; 50388.066; XYZ; 0000
2019-07-05 03:34:00; 14507.578; 2721.027; 50388.01; XYZ; 0000
2019-07-05 03:35:00; 14507.573; 2721.12; 50388.164; XYZ; 0000
2019-07-05 03:36:00; 14508.7; 2720.387; 50388.11; XYZ; 0000
2019-07-05 03:37:00; 14509.398; 2720.84; 50387.99; XYZ; 0000
2019-07-05 03:38:00; 14509.493; 2721.153; 50388.188; XYZ; 0000
2019-07-05 03:39:00; 14509.002; 2720.871; 50388.21; XYZ; 0000
2019-07-05 03:40:00; 14508.562; 2720.955; 50388.043; XYZ; 0000
2019-07-05 03:41:00; 14508.152; 2721.592; 50388.062; XYZ; 0000
2019-07-05 03:42:00; 14508.457; 2720.536; 50387.895; XYZ; 0000
2019-07-05 03:43:00; 14508.786; 2720.226; 50388.234; XYZ; 0000
2019-07-05 03:44:00; 14508.837; 2719.25; 50388.14; XYZ; 0000
2019-07-05 03:45:00; 14509.054; 2719.353; 50388.35; XYZ; 0000
2019-07-05 03:46:00; 14509.185; 2719.949; 50388.562; XYZ; 0000
2019-07-05 03:47:00; 14509.308; 2720.745; 50388.21; XYZ; 0000
2019-07-05 03:48:00; 14509.453; 2722.13; 50387.99; XYZ; 0000
2019-07-05 03:49:00; 14509.736; 2723.304; 50388.344; XYZ; 0000
2019-07-05 03:50:00; 14509.794; 2723.19; 50388.027; XYZ; 0000
2019-07-05 03:51:00; 14509.881; 2722.747; 50388.098; XYZ; 0000
2019-07-05 03:52:00; 14509.787; 2721.906; 50388.27; XYZ; 0000
2019-07-05 03:53:00; 14510.123; 2721.204; 50388.17; XYZ; 0000
2019-07-05 03:54:00; 14510.604; 2720.548; 50388.215; XYZ; 0000
2019-07-05 03:55:00; 14510.962; 2721.103; 50388.305; XYZ; 0000
2019-07-05 03:56:00; 14511.637; 2721.071; 50388.84; XYZ; 0000
2019-07-05 03:57:00; 14511.769; 2720.569; 50388.9; XYZ; 0000
2019-07-05 03:58:00; 14511.627; 2719.925; 50389.113; XYZ; 0000
2019-07-05 03:59:00; 14510.729; 2719.27; 50389.062; XYZ; 0000
2019-07-05 04:00:00; 14509.527; 2719.496; 50388.73; XYZ; 0000
2019-07-05 04:01:00; 14509.48; 2719.88; 50388.566; XYZ; 0000
2019-07-05 04:02:00; 14509.354; 2720.767; 50388.32; XYZ; 0000
2019-07-05 04:03:00; 14509.559; 2721.63; 50388.7; XYZ; 0000
2019-07-05 04:04:00; 14509.661; 2721.991; 50388.56; XYZ; 0000
2019-07-05 04:05:00; 14509.562; 2722.362; 50388.402; XYZ; 0000
2019-07-05 04:06:00; 14509.68; 2721.87; 50388.363; XYZ; 0000
2019-07-05 04:07:00; 14509.73; 2721.438; 50388.312; XYZ; 0000
2019-07-05 04:08:00; 14509.817; 2721.685; 50388.348; XYZ; 0000
2019-07-05 04:09:00; 14509.819; 2721.794; 50388.49; XYZ; 0000
2019-07-05 04:10:00; 14509.332; 2720.572; 50388.324; XYZ; 0000
2019-07-05 04:11:00; 14509.17; 2720.416; 50388.637; XYZ; 0000
2019-07-05 04:12:00; 14509.338; 2720.773; 50389.305; XYZ; 0000
2019-07-05 04:13:00; 14509.186; 2721.571; 50389.184; XYZ; 0000
2019-07-05 04:14:00; 14508.775; 2722.389; 50388.85; XYZ; 0000
2019-07-05 04:15:00; 14508.574; 2723.39; 50388.535; XYZ; 0000
2019-07-05 04:16:00; 14508.518; 2723.827; 50388.54; XYZ; 0000
2019-07-05 04:17:00; 14508.744; 2724.1; 50388.53; XYZ; 0000
2019-07-05 04:18:00; 14509.294; 2724.78; 50388.1; XYZ; 0000
2019-07-05 04:19:00; 14509.769; 2725.646; 50387.723; XYZ; 0000
2019-07-05 04:20:00; 14509.311; 2726.779; 50387.77; XYZ; 0000
